login,name,company,location,email,hireable,bio,public_repos,followers,following,created_at
kkuchta,,,San Francisco,,False,,0,0,0,
loopDelicious,,,San Francisco,,False,,0,0,0,
niallkennedy,,,San Francisco,,False,,0,0,0,
stevej,,,San Francisco,,False,,0,0,0,
leemunroe,,,San Francisco,,False,,0,0,0,
IoPhoenix,,,San Francisco,,False,,0,0,0,
tolmasky,,,San Francisco,,False,,0,0,0,
chekos,,,San Francisco,,False,,0,0,0,
maryrosecook,,,San Francisco,,False,,0,0,0,
yanneta,,,San Francisco,,False,,0,0,0,
mfix22,,,San Francisco,,False,,0,0,0,
czbiohub-sf,,,San Francisco,,False,,0,0,0,
marcellodesales,,,San Francisco,,False,,0,0,0,
khailey-zz,,,San Francisco,,False,,0,0,0,
buba447,,,San Francisco,,False,,0,0,0,
Team254,,,San Francisco,,False,,0,0,0,
dylhunn,,,San Francisco,,False,,0,0,0,
royerloic,,,San Francisco,,False,,0,0,0,
dalzuga,,,San Francisco,,False,,0,0,0,
chrispederick,,,San Francisco,,False,,0,0,0,
